date,temperature_2m,relative_humidity_2m,wind_speed_10m
2026-02-08 05:00:00+00:00,18.079,87.0,7.2805495
2026-02-08 06:00:00+00:00,18.479,86.0,7.9526596
2026-02-08 07:00:00+00:00,18.329,86.0,7.5942073
2026-02-08 08:00:00+00:00,18.079,86.0,7.5942073
2026-02-08 09:00:00+00:00,17.879,87.0,6.5693827
2026-02-08 10:00:00+00:00,17.629,88.0,6.924738
2026-02-08 11:00:00+00:00,17.178999,91.0,6.2145634
2026-02-08 12:00:00+00:00,17.529,88.0,6.519877
2026-02-08 13:00:00+00:00,18.029,87.0,6.5693827
2026-02-08 14:00:00+00:00,19.029,82.0,6.162207
2026-02-08 15:00:00+00:00,20.178999,75.0,5.4477882
2026-02-08 16:00:00+00:00,21.479,69.0,5.0911684
2026-02-08 17:00:00+00:00,22.729,62.0,4.379589
2026-02-08 18:00:00+00:00,23.428999,57.0,3.4152596
2026-02-08 19:00:00+00:00,23.979,54.0,3.4152596
2026-02-08 20:00:00+00:00,23.729,55.0,3.6179552
2026-02-08 21:00:00+00:00,22.979,59.0,6.28713
2026-02-08 22:00:00+00:00,21.879,65.0,6.5693827
2026-02-08 23:00:00+00:00,20.828999,73.0,6.162207
2026-02-09 00:00:00+00:00,20.328999,74.0,7.928178
2026-02-09 01:00:00+00:00,19.779,77.0,7.9932976
2026-02-09 02:00:00+00:00,19.229,80.0,7.6367526
2026-02-09 03:00:00+00:00,18.928999,82.0,6.379216
2026-02-09 04:00:00+00:00,18.579,84.0,6.489992
2026-02-09 05:00:00+00:00,18.329,86.0,5.6920996
2026-02-09 06:00:00+00:00,18.129,88.0,5.815978
2026-02-09 07:00:00+00:00,17.928999,89.0,4.5536795
2026-02-09 08:00:00+00:00,17.629,91.0,4.896529
2026-02-09 09:00:00+00:00,17.428999,91.0,5.2416787
2026-02-09 10:00:00+00:00,17.079,92.0,5.2416787
2026-02-09 11:00:00+00:00,16.779,92.0,5.5887027
2026-02-09 12:00:00+00:00,16.879,92.0,6.0347
2026-02-09 13:00:00+00:00,17.729,88.0,6.151683
2026-02-09 14:00:00+00:00,18.979,82.0,5.4833565
2026-02-09 15:00:00+00:00,20.428999,74.0,5.315336
2026-02-09 16:00:00+00:00,21.629,68.0,4.072935
2026-02-09 17:00:00+00:00,22.578999,62.0,3.396233
2026-02-09 18:00:00+00:00,23.529,58.0,2.5455842
2026-02-09 19:00:00+00:00,23.979,57.0,1.9386592
2026-02-09 20:00:00+00:00,24.279,55.0,2.0364676
2026-02-09 21:00:00+00:00,24.229,55.0,1.8
2026-02-09 22:00:00+00:00,23.678999,56.0,3.219938
2026-02-09 23:00:00+00:00,22.379,61.0,6.489992
2026-02-10 00:00:00+00:00,21.178999,67.0,7.2359104
2026-02-10 01:00:00+00:00,20.229,70.0,6.849467
2026-02-10 02:00:00+00:00,18.979,77.0,7.5599995
2026-02-10 03:00:00+00:00,18.428999,80.0,8.4042845
2026-02-10 04:00:00+00:00,18.029,82.0,7.771331
2026-02-10 05:00:00+00:00,17.629,84.0,7.072878
2026-02-10 06:00:00+00:00,17.329,85.0,6.725354
2026-02-10 07:00:00+00:00,17.029,87.0,6.28713
2026-02-10 08:00:00+00:00,16.779,89.0,5.8048253
2026-02-10 09:00:00+00:00,16.379,92.0,5.4119864
2026-02-10 10:00:00+00:00,16.079,94.0,5.4119864
2026-02-10 11:00:00+00:00,15.879001,95.0,5.771239
2026-02-10 12:00:00+00:00,16.129,93.0,5.771239
2026-02-10 13:00:00+00:00,17.529,87.0,5.0911684
2026-02-10 14:00:00+00:00,19.029,82.0,3.7064266
2026-02-10 15:00:00+00:00,20.479,72.0,4.5820518
2026-02-10 16:00:00+00:00,21.879,65.0,3.0547013
2026-02-10 17:00:00+00:00,22.928999,58.0,1.835647
2026-02-10 18:00:00+00:00,23.779,53.0,1.8
2026-02-10 19:00:00+00:00,24.129,53.0,3.0758414
2026-02-10 20:00:00+00:00,24.178999,53.0,3.219938
2026-02-10 21:00:00+00:00,23.828999,55.0,3.4152596
2026-02-10 22:00:00+00:00,23.328999,58.0,4.39436
2026-02-10 23:00:00+00:00,21.879,66.0,5.937272
2026-02-11 00:00:00+00:00,20.578999,74.0,7.5942073
2026-02-11 01:00:00+00:00,20.129,77.0,7.2805495
2026-02-11 02:00:00+00:00,19.578999,81.0,6.489992
2026-02-11 03:00:00+00:00,18.729,86.0,6.638072
2026-02-11 04:00:00+00:00,18.279,88.0,6.924738
2026-02-11 05:00:00+00:00,18.079,88.0,7.2359104
2026-02-11 06:00:00+00:00,17.829,89.0,6.9899354
2026-02-11 07:00:00+00:00,17.629,89.0,6.725354
2026-02-11 08:00:00+00:00,17.379,89.0,5.5887027
2026-02-11 09:00:00+00:00,17.029,90.0,5.506941
2026-02-11 10:00:00+00:00,16.729,92.0,5.1544156
2026-02-11 11:00:00+00:00,16.479,94.0,5.0528407
2026-02-11 12:00:00+00:00,16.629,95.0,5.4119864
2026-02-11 13:00:00+00:00,17.928999,89.0,5.0142193
2026-02-11 14:00:00+00:00,19.379,80.0,3.563818
2026-02-11 15:00:00+00:00,20.879,71.0,3.6
2026-02-11 16:00:00+00:00,22.078999,63.0,3.563818
2026-02-11 17:00:00+00:00,23.479,56.0,2.8116899
2026-02-11 18:00:00+00:00,24.229,51.0,1.0182338
2026-02-11 19:00:00+00:00,24.729,48.0,0.5091169
2026-02-11 20:00:00+00:00,24.879,47.0,1.08
2026-02-11 21:00:00+00:00,24.629,49.0,1.08
2026-02-11 22:00:00+00:00,23.779,55.0,1.08
2026-02-11 23:00:00+00:00,22.479,63.0,4.32
2026-02-12 00:00:00+00:00,21.379,70.0,6.8399997
2026-02-12 01:00:00+00:00,20.629,75.0,7.208994
2026-02-12 02:00:00+00:00,20.029,80.0,6.849467
2026-02-12 03:00:00+00:00,19.529,83.0,6.519877
2026-02-12 04:00:00+00:00,19.178999,85.0,6.162207
2026-02-12 05:00:00+00:00,18.879,87.0,6.162207
2026-02-12 06:00:00+00:00,18.629,88.0,5.8048253
